file,issue
IDSR-Weekly-Report-16-2022.pdf,unmatched district in compliance: week. Swabi
IDSR-Weekly-Report-16-2022.pdf,province summary table (Table 1) not found
IDSR-Weekly-Report-16-2022.pdf,no district-disease tables found (expected for 2021/2022 legacy format)
IDSR-Weekly-Report-16-2022.pdf,lab confirmation table (Table 5) not found
IDSR-Weekly-Report-25-2021.pdf,unmatched district in compliance: Islamabad Capital Territory Islamabad
IDSR-Weekly-Report-25-2021.pdf,unmatched district in compliance: NosheroFeroz
IDSR-Weekly-Report-25-2021.pdf,no district-disease tables found (expected for 2021/2022 legacy format)
IDSR-Weekly-Report-25-2021.pdf,lab confirmation table (Table 5) not found
Weekly Report-06-2024.pdf,lab confirmation table (Table 5) not found
Weekly Report-08-2024.pdf,lab confirmation table (Table 5) not found
Weekly Report-19-2024.pdf,lab confirmation table (Table 5) not found
Weekly Report-25-2024.pdf,lab confirmation table (Table 5) not found
Weekly Report-45-2023.pdf,lab confirmation table (Table 5) not found
Weekly_Report-47-2024.pdf,lab confirmation table (Table 5) not found
