hdx_adm2_name,case_data_district_raw
Bagh,Bagh
Bhimber,Bhimber
Jhelum Valley,Jhelum Velley
Haveli,Haveli
Kotli,Kotli
Mirpur,Mirpur
Muzaffarabad,Muzaffarabad
Neelum,Neelum
Poonch,Poonch
Sudhnoti,Sudhnooti
Awaran,Awaran
Barkhan,Barkhan
Chagai,Chagai
Dera Bugti,Dera Bugti
Gwadar,Gwadar
Harnai,Harnai
Jaffarabad,Jaffarabad
Jhal Magsi,Jhal Magsi
Kachhi,Kachhi (Bolan)
Kalat,Kalat
Kech,Kech
Kharan,Kharan
Khuzdar,Khuzdar
Killa Abdullah,Killa Abdullah
Killa Saifullah,Killa Saifullah
Kohlu,Kohlu
Lasbela,Lasbella
Lehri,Lehri
Loralai,Loralai
Mastung,Mastung
Musakhel,Musakhel
Nasirabad,Naseerabad
Nushki,Nushki
Panjgur,Panjgur
Pishin,Pishin
Quetta,Quetta
Sherani,Sherani
Sibi,Sibi
Sohbatpur,Sohbat pur
Washuk,Washuk
Zhob,Zhob
Ziarat,Ziarat
Shaheed Sikandarabad,Shaheed Sikandarabad
Duki,Duki
Chaman,Chaman
Astore,Astore
Diamir,Diamer
Ghanche,Ganche
Ghizer,Ghizer
Gilgit,Gilgit
Hunza,Hunza
Skardu,Skardu
Nagar,Nagar
Kharmang,Kharmang
Shigar,Shigar
Darel,Darel
Tangir,Tangir
Gupis-Yasin,Gupis-Yasin
Rondu,Rondu
Islamabad,Islamabad Capital ICT
Abbottabad,Abbottabad
Bajaur,Bajaur
Bannu,Bannu
Batagram,Battagram
Buner,Buner
Charsadda,Charsadda
Chitral Lower,Chitral Lower
Chitral Upper,Chitral Upper
D. I. Khan,D.I. Khan
Hangu,Hangu
Haripur,Haripur
Karak,Karak
Khyber,Khyber
Kohat,Kohat
Kohistan Lower,Kohistan Lower
Kohistan Upper,Kohistan Upper
Kolai Palas Kohistan,Kolai Palas
Kurram,Lower & Central Kurram
Kurram,Upper Kurram
Lakki Marwat,Lakki Marwat
Lower Dir,Dir Lower
Malakand,Malakand
Mansehra,Mansehra
Mardan,Mardan
Mohmand,Mohmand
North Waziristan,North Waziristan
Nowshera,Nowshera
Orakzai,Orakzai
Peshawar,Peshawar
Shangla,Shangla
South Waziristan,South Waziristan
Swabi,Swabi
Swat,Swat
Tank,Tank
Tor Ghar,Torghar
Upper Dir,Dir Upper
Attock,Attock
Bahawalnagar,Bahawalnagar
Bahawalpur,Bahalwalpur
Bhakkar,Bhakkar
Chakwal,Chakwal
Chiniot,Chiniot
Dera Ghazi Khan,Dera Ghazi Khan
Faisalabad,Faisalabad
Gujranwala,Gujranwala
Gujrat,Gujrat
Hafizabad,Hafizabad
Jhang,Jhang
Jhelum,Jhelum
Kasur,Kasur
Khanewal,Khanewal
Khushab,Khushab
Lahore,Lahore
Leiah,Leiah
Lodhran,Lodhran
Mandi Bahauddin,Mandi Bahauddin
Mianwali,Mianwali
Multan,Multan
Muzaffargarh,Muzaffargarh
Nankana Sahib,Nankana Sahib
Narowal,Narowal
Okara,Okara
Pakpattan,Pakpattan
Rahim Yar Khan,Rahim Yar Khan
Rajanpur,Rajanpur
Rawalpindi,Rawalpindi
Sahiwal,Sahiwal
Sargodha,Sargodha
Sheikhupura,Sheikhupura
Sialkot,Sialkot
Toba Tek Singh,Toba Tek Singh
Vehari,Vehari
Badin,Badin
Central Karachi,Karachi-Central
Dadu,Dadu
East Karachi,Karachi-East
Ghotki,Ghotki
Hyderabad,Hyderabad
Jacobabad,Jacobabad
Jamshoro,Jamshoro
Kambar Shahdad Kot,Kamber Shadadkot
Kashmore,Kashmore
Khairpur,Khairpur
Korangi Karachi,Karachi-Korangi
Larkana,Larkana
Malir Karachi,Karachi-Malir
Matiari,Matiari
Mirpur Khas,Mirpur Khas
Naushahro Feroze,Naushahro Feroze
Sanghar,Sanghar
Shaheed Benazir Abad,Shaheed Benazirabad
Shikarpur,Shikarpur
South Karachi,Karachi-South
Sujawal,Sujawal
Sukkur,Sukkur
Tando Allahyar,Tando Allahyar
Tando Muhammad Khan,Tando Muhammad Khan
Tharparkar,Tharparkar
Thatta,Thatta
Umer Kot,Umerkot
West Karachi,Karachi-West
Kambar Shahdad Kot,Kamber
Central Karachi,Karachi Central
East Karachi,Karachi East
West Karachi,Karachi Keamari
Korangi Karachi,Karachi Korangi
Malir Karachi,Karachi Malir
South Karachi,Karachi South
West Karachi,Karachi West
Usta Muhammad,Muhammad
Kech,Kech (Turbat)
Lasbela,Hub
South Waziristan,South Waziristan (Upper)
South Waziristan,South Waziristan (Lower)
South Waziristan,SWA
South Waziristan,SWU
Kurram,L & C Kurram
North Waziristan,NWA
Kalat,Surab
