district_raw,province
Abbottabad,Khyber Pakhtunkhwa
Bannu,Khyber Pakhtunkhwa
Battagram,Khyber Pakhtunkhwa
Buner,Khyber Pakhtunkhwa
Bajaur,Khyber Pakhtunkhwa
Charsadda,Khyber Pakhtunkhwa
Chitral Upper,Khyber Pakhtunkhwa
Chitral Lower,Khyber Pakhtunkhwa
D.I. Khan,Khyber Pakhtunkhwa
Dir Lower,Khyber Pakhtunkhwa
Dir Upper,Khyber Pakhtunkhwa
Hangu,Khyber Pakhtunkhwa
Haripur,Khyber Pakhtunkhwa
Karak,Khyber Pakhtunkhwa
Khyber,Khyber Pakhtunkhwa
Kohat,Khyber Pakhtunkhwa
Kohistan Lower,Khyber Pakhtunkhwa
Kohistan Upper,Khyber Pakhtunkhwa
Kolai Palas,Khyber Pakhtunkhwa
Lakki Marwat,Khyber Pakhtunkhwa
Lower & Central Kurram,Khyber Pakhtunkhwa
Upper Kurram,Khyber Pakhtunkhwa
Malakand,Khyber Pakhtunkhwa
Mansehra,Khyber Pakhtunkhwa
Mardan,Khyber Pakhtunkhwa
Nowshera,Khyber Pakhtunkhwa
North Waziristan,Khyber Pakhtunkhwa
Peshawar,Khyber Pakhtunkhwa
Shangla,Khyber Pakhtunkhwa
Swabi,Khyber Pakhtunkhwa
Swat,Khyber Pakhtunkhwa
South Waziristan (Upper),Khyber Pakhtunkhwa
South Waziristan (Lower),Khyber Pakhtunkhwa
Tank,Khyber Pakhtunkhwa
Torghar,Khyber Pakhtunkhwa
Mohmand,Khyber Pakhtunkhwa
Orakzai,Khyber Pakhtunkhwa
Mirpur,Azad Jammu & Kashmir
Bhimber,Azad Jammu & Kashmir
Kotli,Azad Jammu & Kashmir
Muzaffarabad,Azad Jammu & Kashmir
Poonch,Azad Jammu & Kashmir
Haveli,Azad Jammu & Kashmir
Bagh,Azad Jammu & Kashmir
Neelum,Azad Jammu & Kashmir
Jhelum Velley,Azad Jammu & Kashmir
Sudhnooti,Azad Jammu & Kashmir
Gwadar,Balochistan
Kech,Balochistan
Khuzdar,Balochistan
Killa Abdullah,Balochistan
Lasbella,Balochistan
Pishin,Balochistan
Quetta,Balochistan
Sibi,Balochistan
Zhob,Balochistan
Jaffarabad,Balochistan
Naseerabad,Balochistan
Kharan,Balochistan
Sherani,Balochistan
Kohlu,Balochistan
Chagai,Balochistan
Kalat,Balochistan
Harnai,Balochistan
Kachhi (Bolan),Balochistan
Jhal Magsi,Balochistan
Sohbat pur,Balochistan
Surab,Balochistan
Mastung,Balochistan
Loralai,Balochistan
Killa Saifullah,Balochistan
Ziarat,Balochistan
Duki,Balochistan
Nushki,Balochistan
Dera Bugti,Balochistan
Washuk,Balochistan
Panjgur,Balochistan
Awaran,Balochistan
Chaman,Balochistan
Barkhan,Balochistan
Hub,Balochistan
Musakhel,Balochistan
Usta Muhammad,Balochistan
Gilgit Baltistan Hunza,Gilgit-Baltistan
Nagar,Gilgit-Baltistan
Ghizer,Gilgit-Baltistan
Gilgit,Gilgit-Baltistan
Diamer,Gilgit-Baltistan
Astore,Gilgit-Baltistan
Shigar,Gilgit-Baltistan
Skardu,Gilgit-Baltistan
Ganche,Gilgit-Baltistan
Kharmang,Gilgit-Baltistan
Hyderabad,Sindh
Ghotki,Sindh
Umerkot,Sindh
Naushahro Feroze,Sindh
Tharparkar,Sindh
Shikarpur,Sindh
Thatta,Sindh
Larkana,Sindh
Kamber Shadadkot,Sindh
Karachi-East,Sindh
Karachi-West,Sindh
Karachi-Malir,Sindh
Karachi-Kemari,Sindh
Karachi-Central,Sindh
Sindh Karachi-Korangi,Sindh
Karachi-South,Sindh
Sujawal,Sindh
Mirpur Khas,Sindh
Badin,Sindh
Sukkur,Sindh
Dadu,Sindh
Sanghar,Sindh
Jacobabad,Sindh
Khairpur,Sindh
Kashmore,Sindh
Matiari,Sindh
Jamshoro,Sindh
Tando Allahyar,Sindh
Tando Muhammad Khan,Sindh
Shaheed Benazirabad,Sindh
Islamabad Capital ICT,Islamabad Capital Territory
CDA,Islamabad Capital Territory
South Waziristan,Khyber Pakhtunkhwa
Hunza,Gilgit-Baltistan
Bahalwalpur,Punjab
Territory CDA,Islamabad Capital Territory
Kamber,Sindh
L & C Kurram,Khyber Pakhtunkhwa
SWA,Khyber Pakhtunkhwa
SWU,Khyber Pakhtunkhwa
NWA,Khyber Pakhtunkhwa
Kech (Turbat),Balochistan
Lehri,Balochistan
Shaheed Sikandarabad,Balochistan
Darel,Gilgit-Baltistan
Tangir,Gilgit-Baltistan
Gupis-Yasin,Gilgit-Baltistan
Rondu,Gilgit-Baltistan
Attock,Punjab
Bahawalnagar,Punjab
Bhakkar,Punjab
Chakwal,Punjab
Chiniot,Punjab
Dera Ghazi Khan,Punjab
Faisalabad,Punjab
Gujranwala,Punjab
Gujrat,Punjab
Hafizabad,Punjab
Jhang,Punjab
Jhelum,Punjab
Kasur,Punjab
Khanewal,Punjab
Khushab,Punjab
Lahore,Punjab
Leiah,Punjab
Lodhran,Punjab
Mandi Bahauddin,Punjab
Mianwali,Punjab
Multan,Punjab
Muzaffargarh,Punjab
Nankana Sahib,Punjab
Narowal,Punjab
Okara,Punjab
Pakpattan,Punjab
Rahim Yar Khan,Punjab
Rajanpur,Punjab
Rawalpindi,Punjab
Sahiwal,Punjab
Sargodha,Punjab
Sheikhupura,Punjab
Sialkot,Punjab
Toba Tek Singh,Punjab
Vehari,Punjab
Karachi-Korangi,Sindh
